track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
I Don't Care (with Justin Bieber),Ed Sheeran,90,I Don't Care (with Justin Bieber),78,0.798,0.675,-5.041,1,6,0.0442,0.0912,0,0.0894,0.842,101.956,219947
Play Date,Melanie Martinez,78,Cry Baby (Deluxe Edition),78,0.68,0.729,-5.077,1,5,0.0475,0.612,0,0.224,0.446,123.97,179867
Mood Swings (feat. Lil Tjay),Pop Smoke,83,Shoot For The Stars Aim For The Moon,78,0.48,0.602,-6.335,0,10,0.368,0.487,0,0.0848,0.269,179.798,213333
Rover (feat. DTG),S1mba,64,Rover (feat. DTG),78,0.613,0.624,-6.66,0,11,0.206,0.496,0,0.283,0.803,62.948,167917
Life Is Good (feat. Drake),Future,87,Life Is Good (feat. Drake),77,0.676,0.609,-5.831,0,2,0.481,0.0706,0,0.152,0.508,142.037,237735
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,66,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),77,0.722,0.893,-3.255,0,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,116750
Be Kind (with Halsey),Marshmello,83,Be Kind (with Halsey),77,0.63,0.633,-7.088,1,4,0.0457,0.00776,0,0.0541,0.452,93.995,172762
Savage Love (Laxed - Siren Beat),Jawsh 685,63,Savage Love (Laxed - Siren Beat),77,0.767,0.481,-8.52,0,0,0.0803,0.234,0,0.269,0.761,150.076,171375
Without Me,Halsey,83,Without Me,77,0.752,0.488,-7.05,1,6,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661
Sunday Best,Surfaces,71,Where the Light Is,77,0.878,0.525,-6.832,1,5,0.0578,0.183,0,0.0714,0.694,112.022,158571
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,68,The Papercut Chronicles,77,0.72,0.744,-6.938,0,1,0.12,0.237,0,0.255,0.619,78.953,243773
Hawái,Maluma,83,PAPI JUANCHO,77,0.783,0.727,-3.454,0,6,0.389,0.185,2.46e-05,0.0626,0.558,180.067,199112
Intentions (feat. Quavo),Justin Bieber,90,Changes,77,0.806,0.546,-6.637,1,9,0.0575,0.3,0,0.102,0.874,147.986,212867
edamame (feat. Rich Brian),bbno$,72,edamame (feat. Rich Brian),77,0.815,0.848,-4.704,0,4,0.115,0.023,0.000162,0.0265,0.684,106.032,133707
OUT WEST (feat. Young Thug),JACKBOYS,65,JACKBOYS,77,0.802,0.591,-4.895,1,8,0.225,0.0104,0,0.196,0.309,139.864,157712
Lemonade,Internet Money,72,"Lemonade (feat. Gunna, Don Toliver & NAV)",76,0.799,0.66,-6.153,0,1,0.079,0.256,0,0.111,0.471,140.04,195429
Baby Girl,Disco Lines,59,Baby Girl,76,0.73,0.907,-3.72,1,2,0.0606,0.0921,0.114,0.23,0.249,120.968,111074
"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Bee Gees,75,How Can You Mend A Broken Heart,76,0.601,0.703,-6.24,1,7,0.0379,0.175,8.4e-05,0.571,0.673,106.164,196213
THE SCOTTS,THE SCOTTS,58,THE SCOTTS,76,0.716,0.537,-7.648,0,0,0.0514,0.233,0,0.157,0.28,129.979,165978
Frozen,Madonna,77,Frozen,76,0.706,0.633,-9.584,1,1,0.0419,0.267,0.0192,0.175,0.375,110.005,120157
Build a Bitch,Bella Poarch,65,Build a Bitch,76,0.855,0.463,-7.454,1,3,0.0367,0.217,1.77e-05,0.347,0.866,102.931,122773
BOP,DaBaby,82,KIRK,76,0.769,0.787,-3.909,1,11,0.367,0.189,0,0.129,0.836,126.77,159715
I AM WOMAN,Emmy Meli,59,I AM WOMAN,76,0.646,0.471,-9.247,1,10,0.157,0.122,0,0.125,0.455,170.084,232813
Talking to the Moon,Bruno Mars,86,Doo-Wops & Hooligans,76,0.498,0.59,-4.721,0,1,0.032,0.511,0,0.107,0.0784,145.867,217867
Therefore I Am,Billie Eilish,88,Therefore I Am,75,0.889,0.34,-7.773,0,11,0.0697,0.218,0.13,0.055,0.716,94.009,174321
Blueberry Faygo,Lil Mosey,70,Certified Hitmaker,75,0.774,0.554,-7.909,1,0,0.0383,0.207,0,0.132,0.349,99.034,162547
